source,target,lift
informatyka,sql,1.5693045673892663
sql,informatyka,1.5693045673892663
informatyka,java,1.5570443754565375
sql,java,3.085331388953219
java,sql,3.085331388953219
informatyka,javascript,0.9905458910451164
sql,javascript,2.371363909925272
java,javascript,3.049386474334957
javascript,java,3.049386474334957
excel,powerpoint,1.7323992482294974
powerpoint,excel,1.7323992482294974
sql,html,2.1194388478855286
java,html,2.767878398095531
javascript,html,8.249987527232209
html,javascript,8.249987527232209
informatyka,c#,1.8706592166051625
sql,c#,2.1559873197668473
javascript,c#,3.317048556539002
c#,javascript,3.317048556539002
sql,css,1.7984782662355294
javascript,css,9.57498552403011
css,javascript,9.57498552403011
html,css,12.739312636584627
css,html,12.739312636584627
informatyka,ms_sql_server,1.7393601168736303
sql,ms_sql_server,1.8065905511811025
c#,ms_sql_server,6.915054545454545
ms_sql_server,c#,6.915054545454545
informatyka,git,0.9640667877519594
sql,git,2.536187885720366
java,git,3.927998310810811
javascript,git,4.092012394560165
excel,matematyka,0.7447142035434589
informatyka,matematyka,2.3037057676232933
sql,matematyka,2.1183436155532105
informatyka,python,1.745777027027027
sql,python,1.7483544537401574
java,python,3.6808938419117645
informatyka,mysql,0.9734631502056822
sql,mysql,1.6864509946125155
javascript,mysql,5.081461615822997
html,mysql,3.905627318950117
css,mysql,5.115492492987956
git,mysql,6.707459103840683
mysql,git,6.707459103840683
mysql,python,5.666118421052632
informatyka,xml,1.1662999785673358
sql,xml,3.0699467207317648
java,xml,6.211375044029588
javascript,xml,5.833860940539304
html,xml,5.623082816091055
css,xml,5.58722054323954
informatyka,postgresql,2.058901653496248
sql,postgresql,2.77424838940587
java,postgresql,3.9059157754010694
ms_sql_server,postgresql,3.7003636363636363
git,postgresql,6.299447174447175
python,postgresql,8.808238636363637
postgresql,python,8.808238636363637
mysql,postgresql,15.405502392344498
postgresql,mysql,15.405502392344498
excel,statystyka,0.7115403717772625
informatyka,statystyka,1.1134172070303732
sql,statystyka,1.943523732019531
matematyka,statystyka,10.59511605137361
statystyka,matematyka,10.59511605137361
informatyka,c_c++,1.8892233262734417
sql,c_c++,1.9015451272108574
java,c_c++,3.3795724948270767
c#,c_c++,3.2374861319584936
python,c_c++,6.978721733668341
c_c++,python,6.978721733668341
excel,vba,1.3477104056663343
informatyka,vba,1.0816916149711633
sql,vba,3.233862674814902
matematyka,vba,6.838052008001231
informatyka,tsql,1.7808619430241053
sql,tsql,3.338582677165354
c#,tsql,8.535064935064936
ms_sql_server,tsql,7.490666666666667
informatyka,bash,1.9487743557511
sql,bash,1.7032594762863944
python,bash,17.65061773255814
bash,python,17.65061773255814
mysql,bash,5.692472460220318
informatyka,perl,1.7318996261762558
sql,perl,1.6155917091245948
java,perl,2.51446258650519
python,perl,23.74770220588235
perl,python,23.74770220588235
bash,perl,42.414500683994525
perl,bash,42.414500683994525
excel,sas,0.5819329571190831
informatyka,sas,2.033690612841192
sql,sas,4.857765547163748
matematyka,sas,11.306964022722491
statystyka,sas,22.62364610648729
r,sas,12.913369429404415
sql,bootstrap,1.342736220472441
javascript,bootstrap,10.795796178343949
html,bootstrap,6.15242819843342
css,bootstrap,9.719435736677116
git,bootstrap,4.608851351351351
informatyka,jenkins,1.5800873154738648
sql,jenkins,2.129074345357993
java,jenkins,6.892356361149111
git,jenkins,8.76948460087995
excel,fizyka,0.44208860308271425
informatyka,fizyka,2.5281397047581837
sql,fizyka,1.5613211865958616
matematyka,fizyka,17.344761448093983
statystyka,fizyka,8.862024165259191
informatyka,big_data,1.6985938641344047
sql,big_data,2.2887549212598426
java,big_data,2.493508731617647
python,big_data,11.10205078125
statystyka,big_data,10.825768156424582
sql,nosql,2.2193987115246956
java,nosql,3.1087901069518717
javascript,nosql,5.186450492182976
html,nosql,3.434369807737954
git,nosql,7.617936117936118
python,nosql,17.616477272727273
mysql,nosql,9.06578947368421
postgresql,nosql,9.198347107438016
big_data,nosql,41.10511363636363
nosql,big_data,41.10511363636363
informatyka,angularjs,1.7421475529583639
java,angularjs,5.6994485294117645
javascript,angularjs,8.101910828025478
html,angularjs,5.60443864229765
c#,angularjs,6.194805194805195
css,angularjs,9.719435736677116
git,angularjs,9.66891891891892
matematyka,angularjs,6.556701030927835
postgresql,angularjs,16.678321678321677
statystyka,angularjs,10.659217877094973
bootstrap,angularjs,33.39
java,nodejs,2.417947860962567
javascript,nodejs,11.569774174869716
css,nodejs,5.890567113137646
git,nodejs,8.252764127764127
python,nodejs,8.808238636363637
mysql,nodejs,9.06578947368421
hadoop,big_data,116.26875
informatyka,eclipse,1.2941667536262131
sql,eclipse,3.1388638920134984
java,eclipse,8.79343487394958
javascript,eclipse,4.137761601455869
git,eclipse,4.788416988416988
mongodb,angularjs,112.23529411764706
informatyka,shell,1.6306501095690284
sql,shell,2.441338582677165
java,shell,2.735735294117647
python,shell,12.91875
bash,shell,25.95767441860465
perl,shell,25.533529411764707
spark,big_data,155.025
machine_learning,big_data,135.646875